Case#,name,fe1,fe2,fe3,fe4,fe5,fe6,fe7,fe8,fe9,fe10,fe11,fe12,fe13,fe14,fe15,fe16,fe17,fe18,fe19,fe20,fe21,fe22,fe23,fe24,fe25,fe26,fe27,fe28,fe29,fe30,fe31,fe32,fe33,fe34,fe35,fe36,fe37,fe38,fe39,fe40,fe41,fe42,fe43,fe44,fe45,fe46,fe47,fe48,fe49,fe50,fe51,fe52,fe53,fe54,fe55,fe56,fe57,fe58,fe59,fe60,fe61,fe62,fe63,fe64,fe65,fe66,fe67,fe68,fe69,fe70,fe71,fe72,fe73,fe74,fe75,fe76,fe77,fe78,fe79,fe80,fe81,fe82,fe83,fe84,fe85,fe86,fe87,fe88,fe89,fe90,fe91,fe92,fe93,fe94,fe95,fe96,fe97,fe98,fe99,fe100,fe101,fe102,fe103,fe104,fe105,fe106,fe107,fe108,fe109,fe110,fe111,fe112,fe113,fe114,fe115,fe116,fe117,fe118,fe119,fe120,fe121,fe122,fe123,fe124,fe125,fe126,fe127,fe128
1,Amandla Sternburg,-0.062336195,0.052563664,0.100086585,-0.11949154,-0.139726818,-0.101674877,-0.077950425,-0.115687229,0.191022113,-0.132884875,0.201623648,-0.067617685,-0.134939566,0.007290145,-0.07235954,0.199174076,-0.153438762,-0.170064643,-0.043098971,-0.003006741,0.029058428,0.043828353,0.051338714,0.114950612,-0.195153058,-0.384749025,-0.087807164,-0.029577736,-0.088956296,-0.007902285,0.016682984,0.257193297,-0.208303899,0.014620776,0.035714842,0.097759694,0.055102214,0.012621448,0.106336512,0.056146055,-0.314917088,-0.003461711,0.138926089,0.221740603,0.135006577,0.018404711,0.076931,-0.107533798,0.027237209,-0.186403036,0.07664302,0.135931775,0.10830953,0.026478592,0.074598119,-0.158395022,0.024473529,0.099784985,-0.081101179,0.017990131,0.041992579,0.014427522,-0.008588787,-0.103098549,0.226688713,0.127523512,-0.107289709,-0.067521848,0.140901342,-0.1143931,-0.13739194,0.02680859,-0.172731966,-0.161083236,-0.360510916,-0.073132098,0.37483266,0.108724385,-0.211108804,0.093638077,-0.015225609,-0.001673322,-0.026877744,0.186114609,-0.126247227,0.121991664,-0.012812985,0.067354381,0.199656337,0.015852418,0.005667159,0.248975798,0.010319523,0.052207448,-0.009622049,-0.010999376,-0.053895496,-0.012632636,-0.165449217,-0.037615925,-0.042542517,0.03300374,-0.066053443,0.14468196,-0.277081311,0.14705193,0.014763011,-0.039887529,-0.004799418,0.178508893,0.006907964,-0.119174473,0.080621921,-0.167057544,0.091282383,0.184103549,0.047944799,0.14631176,0.077741094,0.087120108,0.007946721,-0.013164302,-0.114904217,-0.004787452,0.123940699,-0.133650035,0.034757681,0.075892903
2,Amandla Sternburg,-0.062336195,0.052563664,0.100086585,-0.11949154,-0.139726818,-0.101674877,-0.077950425,-0.115687229,0.191022113,-0.132884875,0.201623648,-0.067617685,-0.134939566,0.007290145,-0.07235954,0.199174076,-0.153438762,-0.170064643,-0.043098971,-0.003006741,0.029058428,0.043828353,0.051338714,0.114950612,-0.195153058,-0.384749025,-0.087807164,-0.029577736,-0.088956296,-0.007902285,0.016682984,0.257193297,-0.208303899,0.014620776,0.035714842,0.097759694,0.055102214,0.012621448,0.106336512,0.056146055,-0.314917088,-0.003461711,0.138926089,0.221740603,0.135006577,0.018404711,0.076931,-0.107533798,0.027237209,-0.186403036,0.07664302,0.135931775,0.10830953,0.026478592,0.074598119,-0.158395022,0.024473529,0.099784985,-0.081101179,0.017990131,0.041992579,0.014427522,-0.008588787,-0.103098549,0.226688713,0.127523512,-0.107289709,-0.067521848,0.140901342,-0.1143931,-0.13739194,0.02680859,-0.172731966,-0.161083236,-0.360510916,-0.073132098,0.37483266,0.108724385,-0.211108804,0.093638077,-0.015225609,-0.001673322,-0.026877744,0.186114609,-0.126247227,0.121991664,-0.012812985,0.067354381,0.199656337,0.015852418,0.005667159,0.248975798,0.010319523,0.052207448,-0.009622049,-0.010999376,-0.053895496,-0.012632636,-0.165449217,-0.037615925,-0.042542517,0.03300374,-0.066053443,0.14468196,-0.277081311,0.14705193,0.014763011,-0.039887529,-0.004799418,0.178508893,0.006907964,-0.119174473,0.080621921,-0.167057544,0.091282383,0.184103549,0.047944799,0.14631176,0.077741094,0.087120108,0.007946721,-0.013164302,-0.114904217,-0.004787452,0.123940699,-0.133650035,0.034757681,0.075892903
3,Amandla Sternburg,-0.063223228,-0.038476024,0.101766407,-0.07911817,-0.164184853,-0.092288867,-0.065581836,-0.067860395,0.131113842,-0.08438161,0.183924153,-0.052297547,-0.156705067,-0.036371808,-0.036068074,0.207660601,-0.136621252,-0.150977761,0.00239037,-0.001193341,0.005637436,0.011751725,0.002394997,0.119261414,-0.153525636,-0.317435622,-0.066438332,-0.060101129,-0.101248085,-0.004534115,-0.066918261,0.202233896,-0.208640769,-0.038205087,0.043697104,0.132355154,0.041825421,-0.043725416,0.089268707,0.097804517,-0.268001616,-0.024619292,0.0655163,0.186082199,0.142239317,0.049229812,0.06160878,-0.103943691,0.057057284,-0.226026282,0.059224561,0.1307607,0.101525538,-0.012193596,-0.005472538,-0.196895346,0.017680429,0.125964493,-0.121334158,-0.006031224,-0.007177739,0.01095218,0.013918739,-0.10943272,0.291171938,0.165719688,-0.093675077,-0.085939802,0.164373934,-0.091502488,-0.156061262,0.003938828,-0.182212636,-0.153501034,-0.351010323,-0.025659569,0.358249813,0.076035626,-0.231480002,0.056002088,-0.102907702,0.022072883,0.007775265,0.150315478,-0.057271183,0.079463914,-0.04788702,-0.03543634,0.218233079,-0.028426191,0.015523367,0.189951569,0.002459995,0.058257308,0.014926448,-0.042859357,-0.047619879,0.01636631,-0.160275698,-0.094584346,-0.024115438,0.01258483,-0.01393286,0.168420732,-0.277750462,0.075086251,0.000956867,-0.067832522,0.013977919,0.078840613,-0.040721942,-0.117982939,0.105379,-0.175581291,0.139768377,0.185041502,0.064863116,0.145289063,0.094934046,0.092718512,-0.031205043,-0.032640934,-0.135209352,0.025838032,0.150926828,-0.089295387,0.035543364,0.064832166
4,Amandla Sternburg,-0.098610073,0.056209438,0.136003032,-0.118633397,-0.172050312,-0.055943802,-0.084015936,-0.072943613,0.135583028,-0.073789589,0.256425798,-0.079830758,-0.184052274,-0.078664459,-0.112932816,0.250004828,-0.236416206,-0.143007472,0.07392066,-0.00029982,0.069610566,-0.001303389,0.008483429,0.088022187,-0.172088653,-0.394732177,-0.067989491,-0.014136335,-0.075676352,-0.038846958,-0.039710682,0.218797326,-0.224083558,-0.014025535,-0.01250156,0.128313348,0.040479995,-0.054189354,0.119334631,0.102197886,-0.281874001,-0.002611664,0.100442596,0.252325803,0.168527767,0.030947817,0.044638112,-0.036558282,0.083610907,-0.241701022,0.026066214,0.180864066,0.106596686,-0.020623783,-0.040296633,-0.105869919,-0.021827273,0.143072397,-0.119602494,-0.021772861,0.033103697,-0.056588907,0.02762457,-0.148385987,0.240377933,0.149742752,-0.10226512,-0.08564055,0.154355407,-0.089729704,-0.170781955,-0.01189033,-0.167103738,-0.125083864,-0.384741247,-0.03509412,0.349009931,0.076585881,-0.201460317,0.039976336,-0.088411316,0.003774499,-0.001929483,0.159626111,-0.060623147,0.095893756,-0.095263056,-0.049692713,0.239698946,-0.0190451,0.011544303,0.246650457,0.020581212,0.06090796,0.015286107,-0.009800153,-0.072168604,-0.007162061,-0.162086725,-0.086756378,-0.061304644,-0.045556497,-0.055405982,0.172363684,-0.288810015,0.112068817,0.006904751,-0.01872368,0.011800082,0.078654006,-0.027316839,-0.119576521,0.103337161,-0.1591665,0.090560615,0.210695803,0.061325617,0.14705269,0.14301008,0.093671344,-0.071814924,-0.059863828,-0.094760917,-0.037738811,0.121683128,-0.100971773,0.065145269,0.053635374
5,Amandla Sternburg,-0.054156192,0.044665482,0.134832844,-0.108199023,-0.160030857,-0.043254625,-0.099802963,-0.050704695,0.168896735,-0.147328824,0.229273856,-0.086827889,-0.13427718,-0.014250335,-0.071332306,0.227078885,-0.190618083,-0.187963858,-0.032229148,-0.079405189,0.011362932,0.09743499,0.038234573,0.088576131,-0.165492922,-0.364755005,-0.065182611,-0.053984031,-0.034419209,-0.051327918,-0.010850837,0.233613521,-0.262897432,0.006557438,0.031641424,0.142056823,0.039580181,-0.013044093,0.105579354,0.051709116,-0.248435825,0.031593487,0.129716128,0.244113907,0.165073037,0.021243501,0.011115771,-0.086212248,0.029649429,-0.180046216,0.051467109,0.192606807,0.110758118,0.015469351,0.009123707,-0.104742333,0.003074598,0.145783693,-0.106594265,0.033869367,0.054758362,0.006396493,-0.002381491,-0.100095324,0.292666912,0.112655059,-0.118193336,-0.118223503,0.168757692,-0.099781118,-0.155487955,0.045722418,-0.199125126,-0.122216575,-0.334908336,-0.027989643,0.394915938,0.018570855,-0.203707024,0.102993213,-0.039396055,-0.015214549,-0.028199004,0.164153695,-0.122068256,0.063367553,-0.037911884,0.062689662,0.256145597,0.008584256,-0.01249466,0.215000749,-0.001006968,0.017529612,0.023269236,-0.024784902,-0.026788801,-0.043595564,-0.224771425,-0.068379998,-0.084252112,-0.026191268,-0.127590448,0.152383178,-0.232152238,0.098948926,0.013175848,-0.072228096,-0.019712619,0.141318023,-0.075302698,-0.124700606,0.147028461,-0.180712998,0.13219811,0.180785343,0.100285821,0.132018372,0.128863528,0.124599852,-0.008052349,-0.025403874,-0.129545212,-0.033177122,0.140403047,-0.112612195,0.062427234,0.071699254
6,Amandla Sternburg,-0.144704819,0.073483758,0.127235636,-0.121281825,-0.109684877,-0.092260227,-0.071417011,-0.120380037,0.140670151,-0.094629042,0.21273084,-0.049738932,-0.143544242,-0.068382375,-0.03465971,0.202735335,-0.16724211,-0.192437902,-0.024259642,-0.05619074,0.024333308,0.008769602,-0.011782845,0.111320123,-0.202916086,-0.308473319,-0.09667021,-0.07405065,-0.091854334,-0.033322252,0.01636558,0.207064927,-0.216539696,-0.003802406,-0.009866838,0.118874989,0.073043898,-0.024659593,0.065537199,0.067449994,-0.257000118,-0.027782096,0.104269914,0.2303821,0.168010622,-0.021976367,0.04034666,-0.046943203,0.041934524,-0.179428503,0.002663452,0.124360442,0.113654777,0.025288414,0.029898681,-0.148075908,0.017295547,0.089815937,-0.099343456,0.009193507,-0.007780521,-0.051884715,-0.034121223,-0.102532417,0.259580374,0.159936413,-0.122677043,-0.069814093,0.170111269,-0.070038855,-0.143219233,0.054622281,-0.18715252,-0.123605914,-0.346038938,-0.033933356,0.355122477,0.05275793,-0.27050674,0.030597607,-0.077041775,0.017202396,-0.01123841,0.166834801,-0.086350113,0.097721785,-0.056507055,0.004674648,0.232597113,0.018877361,-0.011032186,0.225584403,0.00614394,0.047137164,0.015389917,-0.007559069,-0.034155987,-0.060040899,-0.169777259,-0.091459416,-0.03252995,0.002636729,-0.107406512,0.145754874,-0.211435169,0.108337209,0.071566068,-0.024235917,-0.061719041,0.102253594,-0.019835971,-0.088968672,0.118131459,-0.140412226,0.110421702,0.197374552,0.024969058,0.109842941,0.09980607,0.066211767,-0.05769302,-0.045031715,-0.078159422,-0.007614903,0.144340083,-0.126182258,0.042437308,0.035224196
7,Ann,-0.179818138,0.074635878,0.115450852,0.010688861,-0.088040374,-0.106960736,0.055342514,-0.094419569,0.195336804,-0.123909689,0.251592219,0.017328819,-0.139029413,-0.056312509,0.019826345,0.131283298,-0.1738372,-0.149953693,-0.079391852,-0.125918508,0.012608415,0.053528465,-0.015688831,0.055224597,-0.066506885,-0.298293769,-0.132338196,-0.106589139,0.070677251,-0.03231347,0.041127082,0.094659507,-0.201688737,-0.036763556,-0.031070482,0.003650474,0.010612094,-0.014455849,0.160981804,-0.0004785,-0.176992908,-0.141869873,0.032742321,0.293027937,0.21393916,-0.019810291,-0.043569151,-0.008678306,0.005601543,-0.203988731,-0.017928613,0.134054407,0.108066343,0.042105883,-0.035600103,-0.164292052,-0.055762671,-0.022201359,-0.188073128,0.00324714,0.004235722,-0.175323412,-0.142926067,-0.064009823,0.289419979,0.116008379,-0.099669285,-0.162139803,0.274404854,-0.197669134,-0.010720775,0.117321812,-0.169299185,-0.149184585,-0.275102615,0.010671336,0.437269896,0.052649915,-0.145830616,0.022290897,-0.206597254,0.008321859,-0.027237071,0.078694403,-0.050567269,0.048209108,-0.110563315,0.046736848,0.175214216,-0.068041511,-0.08092124,0.197810784,0.00266453,-0.03625929,0.04736051,-0.010820897,0.036403663,-0.085478708,-0.185732961,-0.068015568,-0.00129669,-0.076032549,-0.044576265,0.105577409,-0.159264907,0.12864536,0.089968145,-0.033989195,-0.036091808,0.001159774,-0.141527683,-0.123636983,0.206439108,-0.181097269,0.161590964,0.162413776,0.026104417,0.201355994,-0.011940869,0.135946915,-0.103144653,-0.086227067,-0.096662298,-0.00522891,0.047858048,-0.036189228,0.032869674,0.038732331
8,Ann,-0.176113382,0.028292488,0.043484401,0.00448131,-0.049729373,-0.128470898,0.066668667,-0.071004339,0.208415478,-0.145462543,0.239737406,-0.024161264,-0.131403357,-0.070645466,0.052000541,0.134573057,-0.199762985,-0.191715941,-0.066289276,-0.113577753,0.016461473,0.025241997,-0.052568227,0.134162933,-0.097386107,-0.256905258,-0.10558705,-0.14462699,0.067036614,-0.049522642,0.039060134,0.106738597,-0.22714898,-0.041927531,-0.003683991,0.023419902,0.025094274,-0.050361969,0.20415023,-0.016185366,-0.191423193,-0.127332911,0.025777955,0.274936974,0.157991558,-0.025138916,-0.057600673,-0.008059056,0.025135562,-0.222382739,-0.01554233,0.152250096,0.137368515,0.05763809,-0.053991649,-0.211897731,-0.011441602,0.0063327,-0.212506682,0.023279283,0.01777447,-0.169194356,-0.095007211,-0.031322196,0.302558601,0.133855611,-0.108763814,-0.168344811,0.283954948,-0.190606296,-0.003586842,0.153935045,-0.129475012,-0.181064069,-0.222157255,0.01592939,0.386557996,0.081669852,-0.162266791,0.027762979,-0.212926686,0.026209418,0.001686583,0.08550261,-0.027722508,-0.006426577,-0.116403937,0.026444685,0.18301639,-0.011276394,-0.066899978,0.184795082,0.003670646,-0.055889167,0.034145385,-0.022630841,0.026575059,-0.049794711,-0.123001397,-0.016164707,-0.00305473,-0.048392303,-0.048796635,0.124444887,-0.151449949,0.114457563,0.058646414,-0.045019306,-0.041313641,0.046108693,-0.112935737,-0.106378473,0.144765079,-0.237533152,0.19933483,0.132962674,0.023224957,0.208417773,-0.040072966,0.148127735,-0.075777516,-0.117434643,-0.166997358,-0.024186319,0.064791664,-0.025039058,0.03600429,0.027485704
9,Ann,-0.209060371,0.084126934,0.051038615,-0.028845901,-0.089585707,-0.11393784,0.045511149,-0.137044042,0.194244444,-0.086238533,0.271655381,-0.044783685,-0.170522749,-0.08360146,-0.001256906,0.132225916,-0.218967319,-0.141114727,-0.065184765,-0.120077997,0.011989679,0.044307727,-0.007395687,0.084410205,-0.105846979,-0.314960063,-0.128306299,-0.144741476,0.062399749,-0.09003628,0.069497287,0.143060625,-0.22013402,-0.039729856,-0.01642495,0.057538483,0.040806804,-0.015666667,0.171894118,-0.01115859,-0.204478055,-0.153648213,0.053201742,0.311606646,0.183799207,-0.048608847,-0.072054394,0.010659523,-0.021595119,-0.155807674,-0.012758898,0.142487779,0.095824592,0.042950645,-0.042721123,-0.206790775,-0.06097655,-0.004322478,-0.183289126,-0.064248733,0.008065681,-0.153152004,-0.134432077,-0.064926721,0.277421147,0.120267019,-0.108993985,-0.149955973,0.298296601,-0.165266693,-0.006918679,0.109725863,-0.171782821,-0.135092035,-0.274847299,-0.030311963,0.394555956,0.017532803,-0.170215815,0.011808168,-0.225555629,-0.026182149,-0.060985964,0.080526583,-0.022279253,0.087594144,-0.089539282,0.057041101,0.142630756,-0.041002288,-0.050266728,0.203288287,-0.009110889,-0.050594632,0.051324971,-0.014101179,0.015661919,-0.078215286,-0.174419686,-0.06132219,-0.007305327,-0.086546391,-0.072603293,0.1430334,-0.213573396,0.157605216,0.156769454,-0.041889179,-0.052687209,0.004268014,-0.075378776,-0.095981486,0.224987179,-0.236630261,0.185944542,0.17851387,0.033547115,0.213915259,-0.031388402,0.099968255,-0.09270566,-0.107671194,-0.153649062,-0.014084281,0.031333815,-0.063533701,-0.008362924,0.049853444
10,Ann,-0.218268633,0.104610756,0.095382169,0.009261496,-0.059326693,-0.095055841,0.078587733,-0.059980135,0.159638003,-0.051979538,0.224721178,0.003103705,-0.172465399,-0.104561761,0.06691546,0.156427532,-0.199215963,-0.193441123,-0.058434606,-0.141741008,0.002243424,0.03459185,-0.047016319,0.12381912,-0.097585209,-0.233532816,-0.0784318,-0.180393845,0.035564739,-0.065672472,0.059901968,0.069575936,-0.228068158,-0.021695415,-0.031781755,0.020215364,0.043010574,0.000124367,0.151344672,-0.00741009,-0.178072751,-0.082194179,0.01445977,0.287690014,0.205265313,-0.013763027,-0.047869954,0.002708327,0.001924914,-0.208477825,0.001377927,0.144170687,0.087411731,0.063069001,-0.064442486,-0.199439719,-0.048884075,-0.001700208,-0.199498847,0.020860173,0.026183784,-0.177309275,-0.105071515,-0.03728487,0.297021538,0.115102381,-0.114740007,-0.14386864,0.288545966,-0.180371448,-0.036187455,0.136117876,-0.123793855,-0.129391462,-0.247718513,0.089517802,0.390655637,0.073573068,-0.198613703,0.001572794,-0.220497817,0.055952754,-0.020821361,0.09219224,-0.035828266,0.002575292,-0.121429816,0.012292021,0.152802438,-0.003130713,-0.031003132,0.220186263,0.028803373,-0.053078987,0.049331162,0.004535685,0.046025064,-0.073649608,-0.142112106,-0.053247761,-0.024846178,-0.071166694,-0.042181127,0.115148738,-0.149081305,0.117477894,0.081216075,-0.031659931,-0.08744473,0.059204038,-0.065181553,-0.094223663,0.16134049,-0.216477677,0.216632277,0.160195008,0.005451482,0.180189461,-0.031329546,0.167400658,-0.105524272,-0.129551977,-0.116249233,-0.017273448,0.083954625,-0.028380031,0.02851956,0.065632924
11,Ben Wycliff Mugalu,-0.202045113,0.144669667,0.047791861,-0.015510582,-0.005041529,-0.084379129,0.068023436,-0.10984017,0.165353656,-0.006556544,0.297208071,-0.009022932,-0.242634535,-0.089103334,0.034528174,0.060283497,-0.172461584,-0.109267384,-0.106599525,-0.130916357,-0.006275348,0.021619661,0.019337965,0.117456108,-0.059143316,-0.210250109,-0.055640657,-0.159481972,0.147252232,-0.118106224,0.07883808,0.076714851,-0.160454616,-0.063505717,-0.010144474,0.073605247,0.008967801,-0.008185353,0.234073862,-0.015162514,-0.113454223,-0.099267066,0.001519345,0.292560011,0.092021979,0.038607024,0.004274843,-0.004652802,0.044485632,-0.154138267,0.026395487,0.147057772,0.196015716,0.076088555,-0.053103872,-0.284090996,-0.061955094,0.047369044,-0.185378686,0.112570234,0.050174735,-0.142328233,-0.115608394,-0.053355571,0.254692316,0.106620707,-0.156774253,-0.14011997,0.230756328,-0.133993685,-0.060975477,0.180797681,-0.116475187,-0.111925922,-0.179292411,0.096047491,0.339391083,0.040176004,-0.149851978,-0.081546575,-0.185630873,-0.013574807,-0.132610783,0.052102778,-0.163443789,0.017675377,-0.087445661,-0.034635812,0.13502568,0.037461855,-0.074488886,0.190473795,0.000822011,0.01985554,-0.003105933,-0.007829638,-0.023953123,-0.043864265,-0.079427138,-0.044511836,0.037368555,-0.181228846,-0.01460995,0.065756544,-0.192251951,0.15192613,0.0554322,0.002831068,-0.006567962,0.107151188,-0.11476256,-0.055498455,0.240353033,-0.267090082,0.275730908,0.219550535,0.118100539,0.14662303,0.056218371,0.138452187,-0.001708856,-0.023235142,-0.091714211,-0.10066022,0.065741241,-0.062046088,0.021091476,0.041691139
12,Ben Wycliff Mugalu,-0.172839209,0.097838521,0.047134124,-0.051140718,-0.039065801,-0.048613496,0.066767707,-0.091072179,0.145753786,-0.052633908,0.299019873,-0.018598557,-0.223516196,-0.086388364,0.036825038,0.096171997,-0.216704741,-0.106848493,-0.123524718,-0.18976599,-0.024059357,0.062032789,-0.0292769,0.128828049,-0.082740799,-0.202065438,-0.100928605,-0.181129709,0.166101202,-0.12006221,0.072150208,0.039787244,-0.151829287,-0.018072795,-0.028153408,-0.00946896,0.044648625,-0.034793805,0.235450923,0.009893335,-0.092686176,-0.045725893,0.020582974,0.2828345,0.116680555,-0.001526038,0.021341939,0.03065409,0.071898825,-0.15488489,0.037912957,0.127077475,0.24533838,0.042213775,-0.057491623,-0.237854227,-0.115383707,0.046350457,-0.167211577,0.098151609,0.046978798,-0.143738702,-0.168854147,-0.053306673,0.223971456,0.104948536,-0.14200072,-0.206183255,0.23908186,-0.158575058,-0.063658811,0.163946375,-0.135493025,-0.054928944,-0.190131038,0.111008838,0.358921945,0.038747821,-0.160329506,-0.026228569,-0.213945359,0.004909535,-0.135958493,0.037615638,-0.136032879,0.006466843,-0.083132982,0.018380068,0.116943434,-0.013639398,-0.042175572,0.192247912,0.024719799,0.005731711,-0.008672028,-0.031082157,-0.024631796,-0.074792825,-0.002515547,-0.024541244,0.05244559,-0.110415153,0.007135691,0.055541616,-0.1940483,0.20030576,0.027451912,-0.021091864,-0.00734229,0.107471585,-0.091966644,-0.051171474,0.239808083,-0.265501887,0.182316005,0.180944473,0.055248059,0.141210824,0.021815602,0.152875975,-0.04575143,-0.011503639,-0.123970598,-0.100755312,0.069484405,-0.076082066,0.018971348,0.037394561
13,Ben Wycliff Mugalu,-0.190369383,0.078540072,0.057579249,-0.016954422,-0.024569165,-0.078902468,0.069099724,-0.093603045,0.128130972,0.028334994,0.298978537,-0.02616795,-0.247513473,-0.075325489,0.033958495,0.073246777,-0.155043602,-0.120354503,-0.084592886,-0.186810941,-0.035024848,0.06588643,-0.001325345,0.110949494,-0.097253606,-0.185359389,-0.070598416,-0.192853764,0.121075332,-0.077890106,0.06052316,0.078162931,-0.168661639,-0.066776015,0.021463756,0.043138947,0.032551695,-0.052962814,0.242091551,0.00434193,-0.100145698,-0.105408721,0.018414354,0.273813158,0.07450369,0.008116239,0.041527256,-0.00881094,0.009700526,-0.157965332,0.07086052,0.141317844,0.201684207,0.058125734,-0.100312367,-0.283750892,-0.083730765,0.037821133,-0.17036061,0.071623281,0.063502863,-0.101325676,-0.121118948,-0.065596774,0.262254953,0.123184368,-0.136984617,-0.163261965,0.219775438,-0.140134975,-0.080895752,0.171982899,-0.143484131,-0.102701686,-0.194380268,0.123064473,0.343536079,0.031834681,-0.162065357,-0.048146766,-0.197926879,0.002755485,-0.112564906,0.060013071,-0.128393859,0.055411268,-0.071321085,-0.007221293,0.158531234,0.001269151,-0.083897896,0.169430658,0.015756756,0.024133371,0.029079687,-0.001096342,0.013574705,-0.05263707,-0.045145348,-0.016198397,0.040859029,-0.090463847,0.004780814,0.082533456,-0.185804561,0.161470845,0.033468843,-0.049497932,-0.040755462,0.043606412,-0.057589781,-0.051665485,0.242152989,-0.241383627,0.208492234,0.174618915,0.095035873,0.174923122,0.036201753,0.127629891,-0.020234339,-0.032440919,-0.138790622,-0.069225721,0.090391278,-0.066152029,0.039343059,0.055761106
14,Ben Wycliff Mugalu,-0.174617141,0.07399299,0.067426473,0.025124149,-0.02923285,-0.065156758,0.055604499,-0.066882774,0.117400736,-0.028826296,0.293839425,-0.025552601,-0.231663853,-0.092529781,0.043234706,0.084043741,-0.138578296,-0.097597003,-0.083584085,-0.191464871,-0.000898228,0.054107133,-0.012866219,0.07665956,-0.098556086,-0.194285244,-0.060976312,-0.139701888,0.117483236,-0.135071039,0.057880312,0.08105579,-0.167431772,-0.021856682,-0.037695162,0.016148908,0.056106538,-0.023489799,0.192874238,-0.0007626,-0.103800729,-0.068507016,0.019643392,0.278427988,0.125669926,0.005530885,-0.009509921,0.00722472,0.028067561,-0.144562989,0.045150071,0.141352966,0.184179455,0.050061438,-0.066331185,-0.186374247,-0.108418696,0.014232613,-0.137274548,0.044873513,0.061235297,-0.066826381,-0.113574609,-0.069060698,0.234663546,0.081888869,-0.117804572,-0.154023498,0.216332108,-0.138566181,-0.087716736,0.152938709,-0.142392278,-0.080545284,-0.198713496,0.12512365,0.314466357,0.027046841,-0.133873865,-0.015833769,-0.200972632,-0.008608004,-0.107269578,0.019127045,-0.097181857,0.008365372,-0.066761672,0.035585433,0.156149015,-0.005159386,-0.061259642,0.177155927,0.022392308,-0.025548775,-0.005094129,-0.002098747,0.003571058,-0.039499559,-0.055419955,-0.053692169,0.065119632,-0.094422534,0.017219895,0.097582579,-0.193526015,0.168974549,0.047282409,-0.004543196,0.025928959,0.097184554,-0.09528587,-0.051782783,0.188272208,-0.23856844,0.195817515,0.146445125,0.091974281,0.111879028,0.020668736,0.147824287,-0.030609917,-0.028075054,-0.108283475,-0.079649277,0.070935898,-0.040314186,0.012485512,0.063598871
15,Ben Wycliff Mugalu,-0.155621007,0.051514551,0.035535321,0.00563804,-0.033515163,-0.085378021,0.051756229,-0.075417064,0.114333116,-0.035877738,0.309467643,-0.039063238,-0.216222093,-0.109423585,0.025962405,0.09088289,-0.148753539,-0.104830734,-0.107787348,-0.160097912,-0.012988776,0.040303335,-0.002870524,0.109958522,-0.073514029,-0.225460961,-0.079832055,-0.133294582,0.098545752,-0.113918766,0.065797925,0.07619369,-0.163221225,-0.039878841,-0.016206874,0.019120982,0.054893967,-0.009318623,0.201041967,-0.012108376,-0.09937571,-0.031487837,0.033323728,0.291138828,0.105653182,0.041296434,0.022028057,0.005452868,0.033515647,-0.159042239,0.055143788,0.128877372,0.208119884,0.045345269,-0.05334837,-0.196473271,-0.103006937,0.046583354,-0.14440763,0.067054704,0.039451614,-0.058049146,-0.09495987,-0.073833108,0.260458678,0.090337217,-0.13444908,-0.142779082,0.230012149,-0.146991909,-0.079237387,0.132659078,-0.128734857,-0.096774071,-0.199835256,0.125068456,0.346694916,0.043324545,-0.157306656,-0.020992782,-0.200169608,-0.002361001,-0.13128297,0.009786314,-0.110899538,0.01479785,-0.092049822,0.016518472,0.15906544,-0.002408531,-0.048590355,0.18568252,0.038559284,-0.026421212,0.014048252,-0.00435711,-0.00813088,-0.037307892,-0.05979237,-0.022853779,0.03932704,-0.108489156,0.01486293,0.061672829,-0.189089701,0.188857168,0.025470361,-0.02585455,-0.004253349,0.134017676,-0.082025036,-0.061095111,0.182925701,-0.258344203,0.200774014,0.15330863,0.11110092,0.157667771,0.00200081,0.166004151,-0.034872957,-0.023450859,-0.089903928,-0.109403282,0.057788566,-0.037180725,0.034340903,0.081589341
